iter	MultiClass
0	1.28091479
1	1.190544379
2	1.114660236
3	1.046595538
4	0.9862204673
5	0.9368875728
6	0.8885755301
7	0.8458577232
8	0.8049037346
9	0.7696155609
10	0.733349338
11	0.7006860968
12	0.6708541767
13	0.6443421578
14	0.6175933008
15	0.5936001205
16	0.5695524119
17	0.5487566399
18	0.5276379876
19	0.5089788381
20	0.4918058662
21	0.4743254293
22	0.4586841041
23	0.4448024862
24	0.4303118527
25	0.4170493248
26	0.4038009321
27	0.3914270039
28	0.3803894915
29	0.369207936
30	0.3591510533
31	0.3481892453
32	0.3385163023
33	0.3298811647
34	0.3212433974
35	0.3134439498
36	0.305314315
37	0.2984834439
38	0.2910724949
39	0.2841294744
40	0.2769676508
41	0.2706409872
42	0.2644564789
43	0.2592108891
44	0.2533128694
45	0.2478009842
46	0.2427270952
47	0.2380726375
48	0.2339908829
49	0.2290909413
50	0.2245436359
51	0.2204117133
52	0.2158704472
53	0.2117515746
54	0.2080111671
55	0.2043483117
56	0.2007704778
57	0.1976953735
58	0.1943099908
59	0.1912817575
60	0.1879707662
61	0.1856590649
62	0.1825419715
63	0.1796066944
64	0.1768201108
65	0.1741918869
66	0.1718372958
67	0.1695005232
68	0.1670862991
69	0.1648026165
70	0.1627492757
71	0.1604167336
72	0.1581826315
73	0.1564009508
74	0.1543960835
75	0.1526521158
76	0.1508662315
77	0.1488844376
78	0.1473670147
79	0.1457411057
80	0.1443009872
81	0.1427603755
82	0.1412548296
83	0.1398802944
84	0.138432895
85	0.1368721007
86	0.1354312245
87	0.1342057337
88	0.1327569292
89	0.1315047541
90	0.1301966315
91	0.1289551519
92	0.1278117455
93	0.1265883581
94	0.1253726143
95	0.1244320555
96	0.1232453564
97	0.1221417562
98	0.1210379056
99	0.1200094291
100	0.1189607041
101	0.1179664916
102	0.117018847
103	0.1160419224
104	0.1150585423
105	0.1142648088
106	0.1135033271
107	0.1125653013
108	0.1116811316
109	0.1109761838
110	0.1102004892
111	0.1094408961
112	0.1084944537
113	0.1076273075
114	0.1068038937
115	0.1060228803
116	0.1051990897
117	0.1044208709
118	0.1037084254
119	0.1030062597
120	0.1025172892
121	0.1018306759
122	0.1011706468
123	0.1004288854
124	0.09984907915
125	0.09917661565
126	0.0985472813
127	0.09788253326
128	0.09742649174
129	0.0968599529
130	0.09624568628
131	0.09584087503
132	0.09530742709
133	0.0948152478
134	0.09421708056
135	0.09387465237
136	0.09331239068
137	0.09276859168
138	0.09240014684
139	0.09193708101
140	0.09139963383
141	0.09089651739
142	0.09052721467
143	0.09000841354
144	0.0895730817
145	0.08915150819
146	0.08863177452
147	0.08818026686
148	0.08766234041
149	0.0872180202
150	0.08679866578
151	0.0863596129
152	0.08587541636
153	0.08555566048
154	0.08512988725
155	0.0846448599
156	0.08424883814
157	0.08389010981
158	0.08362126436
159	0.08322287204
160	0.08294156844
161	0.08263245729
162	0.0822382606
163	0.08189400117
164	0.08154173628
165	0.08117758476
166	0.08086740302
167	0.08039886356
168	0.0800872489
169	0.07976535084
170	0.07938565659
171	0.07897664961
172	0.07863299852
173	0.07834549264
174	0.07802251546
175	0.0777029299
176	0.07733310022
177	0.07696271886
178	0.0766096171
179	0.07629299818
180	0.07593120006
181	0.07560790631
182	0.07532788654
183	0.07498174406
184	0.07470275154
185	0.0743240093
186	0.07403404097
187	0.07366472591
188	0.07332745036
189	0.07318175991
190	0.07290204477
191	0.07253325631
192	0.0722343039
193	0.07197023565
194	0.0717113456
195	0.0713868544
196	0.07110527512
197	0.07090341621
198	0.07059391741
199	0.07032661453
200	0.07011082207
201	0.06991492119
202	0.06974129843
203	0.06951768973
204	0.06929564878
205	0.06900566417
206	0.06872396194
207	0.06845723897
208	0.06819229018
209	0.06797319505
210	0.067711431
211	0.06748941965
212	0.06730917682
213	0.06699281147
214	0.0667830166
215	0.06657924547
216	0.06638942816
217	0.06613515925
218	0.06594469935
219	0.0657189337
220	0.06550076644
221	0.06530803778
222	0.06513475651
223	0.06494937395
224	0.06472390975
225	0.06451191433
226	0.06434071239
227	0.06414792476
228	0.06398632316
229	0.06377219297
230	0.06359738673
231	0.06339285621
232	0.06320805609
233	0.0629850966
234	0.0627507672
235	0.06260713732
236	0.06234257073
237	0.06215921178
238	0.06193429058
239	0.06172668689
240	0.06149674239
241	0.06130186865
242	0.0611099464
243	0.06097082535
244	0.06076209341
245	0.06054322766
246	0.06038952341
247	0.06022202392
248	0.06002898307
249	0.05988862772
250	0.05970571764
251	0.05952739769
252	0.05936081229
253	0.05924000597
254	0.05910039729
255	0.05901264182
256	0.05883405809
257	0.05864768479
258	0.05847857264
259	0.05831604211
260	0.05816085752
261	0.05805514633
262	0.05790177105
263	0.05773425233
264	0.05762977757
265	0.05745734464
266	0.05728405707
267	0.05703891884
268	0.05684690199
269	0.05667832026
270	0.05655311995
271	0.05639846071
272	0.05624176439
273	0.05607623237
274	0.05586159978
275	0.05575319694
276	0.05559646316
277	0.05543932953
278	0.055256675
279	0.05510480279
280	0.05495084511
281	0.05481990577
282	0.05474210068
283	0.05452782421
284	0.05428186053
285	0.05413009854
286	0.05400257183
287	0.05385216631
288	0.05368706007
289	0.05354347834
290	0.05344048428
291	0.05331764274
292	0.05318336977
293	0.05303159506
294	0.05288628133
295	0.05267483261
296	0.05249448602
297	0.05239231576
298	0.05227128618
299	0.05213352794
